1	2
2	2
3	2
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	2
12	1
13	2
14	2
15	2
16	1
17	1
18	2
19	2
20	1
21	2
22	1
23	2
24	1
25	5
26	1
27	2
28	5
29	1
30	1
31	2
32	5
33	1
34	1
35	1
36	2
37	2
38	2
39	2
40	1
41	1
42	1
43	1
44	1
45	1
46	2
47	2
48	2
49	2
50	2
51	2
52	1
53	2
54	1
55	2
56	1
57	2
58	2
59	1
60	1
61	2
62	2
63	2
64	2
65	2
66	1
67	1
68	2
69	3
70	4
71	5
72	3
73	5
74	2
75	3
76	4
77	3
78	4
79	2
80	4
81	4
82	5
83	4
84	4
85	4
86	5
87	2
88	3
89	5
90	2
91	3
92	2
93	3
94	3
95	3
96	5
97	5
98	3
99	3
100	5
101	5
102	3
103	3
104	3
105	5
106	3
107	3
108	3
109	3
110	5
111	4
112	2
113	4
114	2
115	5
116	4
117	5
118	4
119	5
120	2
121	2
122	3
123	3
124	3
125	4
126	3
127	2
128	5
129	2
130	1
131	2
132	2
133	2
134	2
135	3
136	5
137	5
138	5
139	3
140	4
141	2
142	2
143	5
144	2
145	5
146	1
147	5
148	4
149	2
150	5
151	3
152	2
153	2
154	2
155	4
156	3
157	3
158	3
159	5
160	4
161	2
162	4
163	2
164	2
165	4
166	3
167	3
168	5
169	3
170	5
171	5
172	2
173	2
174	5
175	3
176	5
177	4
178	2
179	3
180	2
181	1
182	3
183	5
184	2
185	5
186	5
187	2
188	2
189	1
190	1
191	1
192	3
193	5
194	5
195	4
196	5
197	2
198	5
199	2
200	2
201	2
202	2
203	5
204	4
205	5
206	5
207	5
208	5
209	5
210	5
211	1
212	5
213	5
214	5
215	4
216	4
217	5
218	5
219	2
220	5
221	2
222	1
223	5
224	4
225	5
226	5
227	1
228	3
229	5
230	5
231	3
232	5
233	5
234	4
235	5
236	5
237	5
238	2
239	1
240	5
241	1
242	5
243	1
244	5
245	5
246	3
247	3
248	5
249	5
250	5
251	5
252	2
253	5
254	5
255	5
256	1
257	1
258	5
259	5
260	1
261	5
262	5
263	1
264	5
265	5
266	5
267	5
268	1
269	2
270	5
271	5
272	2
273	3
274	5
275	5
276	5
277	2
278	1
279	1
280	1
281	5
282	1
283	1
284	1
285	5
286	1
287	5
288	5
289	5
290	1
291	1
292	1
293	1
294	1
295	1
296	1
297	1
298	1
299	1
300	5
301	1
302	1
303	1
304	1
305	5
306	5
307	5
308	5
309	1
310	1
311	1
312	1
313	1
314	1
315	1
316	1
317	1
318	1
319	1
320	1
321	1
322	1
323	5
324	1
325	1
326	5
327	5
328	5
329	5
330	5
331	5
332	1
333	1
334	1
335	1
336	1
337	1
338	1
339	1
340	1
341	1
342	1
343	1
344	1
345	1
346	1
347	1
348	1
349	1
350	1
351	1
352	1
353	1
354	1
355	1
356	1
357	1
358	1
359	1
360	1
361	1
362	1
363	1
364	1
365	1
366	1
367	1
368	1
369	1
370	1
371	1
372	1
373	1
374	1
375	1
376	1
377	1
378	1
379	1
380	1
381	1
382	1
383	1
384	1
385	1
386	1
